Subject,Lambda,LR,EncDim,DecDim,Dropout,MSE
S004,1.5,0.0001,128,64,0.2,0.12348637077957392
S004,1.5,0.0001,128,64,0.3,0.12931269500404596
S004,1.5,0.0001,128,128,0.2,0.1137063279747963
S004,1.5,0.0001,128,128,0.3,0.13085413817316294
S004,1.5,0.0001,256,32,0.2,0.12797252275049686
S004,1.5,0.0001,256,64,0.3,0.13310259580612183
S004,1.5,0.0001,256,32,0.3,0.14941458404064178
S004,1.5,0.0001,256,64,0.2,0.13893913011997938
S004,2.0,0.001,64,32,0.2,0.12135310471057892
S004,2.0,0.001,64,32,0.3,0.130671969614923
S004,1.5,0.0001,256,128,0.2,0.148686358705163
S004,2.0,0.001,64,64,0.2,0.1516671497374773
S004,1.5,0.0001,256,128,0.3,0.13382500316947699
S004,2.0,0.001,64,64,0.3,0.11856058100238442
S004,2.0,0.001,64,128,0.2,0.13795069139450788
S004,2.0,0.001,64,128,0.3,0.1506221191957593
S004,2.0,0.001,128,32,0.2,0.11371563747525215
S004,2.0,0.001,128,64,0.2,0.13026138022542
S004,2.0,0.001,128,32,0.3,0.11539852153509855
S004,2.0,0.001,128,64,0.3,0.12419216521084309
S004,2.0,0.001,128,128,0.3,0.12230950966477394
S004,2.0,0.001,256,32,0.2,0.15161251462996006
S004,2.0,0.001,256,64,0.2,0.10180904809385538
S004,2.0,0.001,128,128,0.2,0.2689472585916519
S004,2.0,0.001,256,32,0.3,0.13919882290065289
S004,2.0,0.001,256,128,0.2,0.1692383997142315
S004,2.0,0.001,256,64,0.3,0.1174937542527914
S004,2.0,0.001,256,128,0.3,0.11641266103833914
S004,2.0,0.0001,64,32,0.2,0.1252384865656495
S004,2.0,0.0001,64,32,0.3,0.11349659971892834
S004,2.0,0.0001,64,64,0.2,0.12587404064834118
S004,2.0,0.0001,64,64,0.3,0.11060027871280909
S004,2.0,0.0001,64,128,0.3,0.12703055422753096
S004,2.0,0.0001,128,32,0.2,0.11194718070328236
S004,2.0,0.0001,128,32,0.3,0.11690690647810698
S004,2.0,0.0001,64,128,0.2,0.11573059996590018
S004,2.0,0.0001,128,64,0.2,0.12364407069981098
S004,2.0,0.0001,128,64,0.3,0.12225521448999643
S004,2.0,0.0001,128,128,0.2,0.11462565325200558
S004,2.0,0.0001,128,128,0.3,0.1145172487013042
S004,2.0,0.0001,256,32,0.2,0.15451124496757984
S004,2.0,0.0001,256,32,0.3,0.1345389960333705
S004,2.0,0.0001,256,64,0.2,0.14697113260626793
S004,2.0,0.0001,256,128,0.2,0.1265781670808792
S004,2.0,0.0001,256,128,0.3,0.12267069052904844
S006,0.5,0.001,64,32,0.2,0.028319258301053196
S004,2.0,0.0001,256,64,0.3,0.13918379414826632
S006,0.5,0.001,64,64,0.2,0.02893835655413568
S006,0.5,0.001,64,32,0.3,0.029672250151634216
S006,0.5,0.001,64,64,0.3,0.03299764695111662
S006,0.5,0.001,64,128,0.3,0.0324569046497345
S006,0.5,0.001,128,32,0.2,0.02995840075891465
S006,0.5,0.001,64,128,0.2,0.029066008108202368
S006,0.5,0.001,128,32,0.3,0.02502457535592839
S006,0.5,0.001,128,64,0.2,0.028152832470368594
S006,0.5,0.001,128,128,0.2,0.03193350284709595
S006,0.5,0.001,128,64,0.3,0.027948661765549332
S006,0.5,0.001,128,128,0.3,0.02685412287246436
S006,0.5,0.001,256,32,0.2,0.03360561328008771
S006,0.5,0.001,256,64,0.2,0.026809955888893455
S006,0.5,0.001,256,128,0.2,0.02265495908795856
S006,0.5,0.001,256,64,0.3,0.020865757338469848
S006,0.5,0.001,256,128,0.3,0.023924885550513864
S006,0.5,0.0001,64,32,0.2,0.036171482875943184
S006,0.5,0.0001,64,64,0.2,0.039233391638845205
S006,0.5,0.0001,64,64,0.3,0.0334172691218555
S006,0.5,0.0001,64,32,0.3,0.03757298889104277
S006,0.5,0.0001,64,128,0.2,0.034545807575341314
S006,0.5,0.0001,128,32,0.3,0.0377240851521492
S006,0.5,0.0001,64,128,0.3,0.034424349607434124
